date,arbnet_density_skew,arbnet,ackerer,bs,arbnet_density
2019-01-01,29.431198120117188,75.69493103027344,40.549983978271484,33.06897735595703,29.127290725708008
2019-01-02,35.09609603881836,64.29971313476562,42.55637741088867,40.91462326049805,41.70071029663086
2019-01-03,25.904640197753906,75.9744873046875,23.397554397583008,29.816722869873047,24.287216186523438
2019-01-04,26.064495086669922,74.26830291748047,35.00041961669922,29.223527908325195,24.950576782226562
2019-01-07,23.93750762939453,70.36683654785156,60.62383270263672,28.963571548461914,24.250410079956055
2019-01-08,28.163875579833984,57.92250061035156,27.16037368774414,35.36882781982422,36.09125900268555
2019-01-09,34.412113189697266,72.4629135131836,45.1072883605957,38.88721466064453,35.892555236816406
2019-01-10,24.575698852539062,55.57453536987305,17.015918731689453,31.72480010986328,32.16555404663086
2019-01-11,22.19683265686035,64.35497283935547,31.72644805908203,26.159652709960938,22.08019256591797
2019-01-14,14.81773853302002,59.46270751953125,13.34942626953125,20.632783889770508,15.618298530578613
2019-01-15,22.742536544799805,62.882904052734375,40.68760681152344,25.831218719482422,23.01817512512207
2019-01-16,18.79874610900879,52.46658706665039,15.253571510314941,27.0423526763916,27.346614837646484
2019-01-17,17.21627426147461,58.28240966796875,16.712278366088867,22.899974822998047,17.79823875427246
2019-01-18,11.408604621887207,52.62850570678711,23.499427795410156,21.326610565185547,21.6838321685791
2019-01-21,7.341897487640381,55.65285873413086,30.8760929107666,17.352764129638672,11.283974647521973
2019-01-22,6.902423858642578,53.955997467041016,15.374683380126953,16.426483154296875,10.3131103515625
2019-01-23,15.018054008483887,58.592018127441406,25.941303253173828,21.46636390686035,17.273357391357422
2019-01-24,6.6829423904418945,52.183937072753906,14.698019027709961,16.764528274536133,11.322211265563965
2019-01-25,9.59815788269043,52.05672073364258,13.545181274414062,17.473344802856445,13.808564186096191
2019-01-28,9.838176727294922,52.39398193359375,13.328825950622559,14.713091850280762,11.631307601928711
2019-01-29,14.127524375915527,53.918479919433594,12.59035873413086,16.982189178466797,12.652199745178223
2019-01-30,8.646671295166016,47.384857177734375,15.815300941467285,13.346048355102539,10.621548652648926
2019-01-31,15.830108642578125,52.94911575317383,13.936532020568848,23.22366714477539,22.969383239746094
2019-02-01,29.761432647705078,58.98954391479492,24.898340225219727,27.92070198059082,29.790096282958984
2019-02-04,26.732818603515625,56.35231018066406,24.305192947387695,25.04086685180664,26.802017211914062
2019-02-05,18.35708999633789,50.549800872802734,25.121824264526367,27.524002075195312,27.744260787963867
2019-02-06,21.583621978759766,62.85197067260742,34.525569915771484,29.581737518310547,28.260730743408203
2019-02-07,20.0111083984375,48.397457122802734,16.4135799407959,29.26123046875,29.290775299072266
