date,arbnet_density_skew,arbnet,ackerer,bs,arbnet_density
2019-01-01,30.739452362060547,75.70159149169922,40.549983978271484,33.06897735595703,31.455341339111328
2019-01-02,34.74694061279297,64.58109283447266,42.55637741088867,40.91462326049805,35.98664093017578
2019-01-03,23.810070037841797,76.01575469970703,23.397554397583008,29.816722869873047,27.90622329711914
2019-01-04,25.05319595336914,74.54496002197266,35.00041961669922,29.223527908325195,27.808992385864258
2019-01-07,23.252721786499023,70.4483871459961,60.62383270263672,28.963571548461914,25.90609359741211
2019-01-08,23.471668243408203,58.165130615234375,27.16037368774414,35.36882781982422,32.34674835205078
2019-01-09,34.499900817871094,71.44210815429688,45.1072883605957,38.88721466064453,30.21869468688965
2019-01-10,25.156354904174805,55.851463317871094,17.015918731689453,31.72480010986328,24.954618453979492
2019-01-11,15.927347183227539,64.42628479003906,31.72644805908203,26.159652709960938,23.143692016601562
2019-01-14,10.911409378051758,59.6080436706543,13.34942626953125,20.632783889770508,15.21900749206543
2019-01-15,18.66813087463379,62.82461929321289,40.68760681152344,25.831218719482422,23.569908142089844
2019-01-16,18.007362365722656,52.74422073364258,15.253571510314941,27.0423526763916,22.495542526245117
2019-01-17,12.982046127319336,58.26252746582031,16.712278366088867,22.899974822998047,18.6873836517334
2019-01-18,13.409412384033203,52.62611389160156,23.499427795410156,21.326610565185547,14.986835479736328
2019-01-21,5.111504077911377,55.64919662475586,30.8760929107666,17.352764129638672,11.168037414550781
2019-01-22,5.892208576202393,53.98930358886719,15.374683380126953,16.426483154296875,10.198725700378418
2019-01-23,15.270755767822266,58.59093475341797,25.941303253173828,21.46636390686035,17.53160858154297
2019-01-24,9.882315635681152,52.17723083496094,14.698019027709961,16.764528274536133,11.140432357788086
2019-01-25,10.233205795288086,52.113037109375,13.545181274414062,17.473344802856445,13.451677322387695
2019-01-28,8.761625289916992,52.71660232543945,13.328825950622559,14.713091850280762,11.355305671691895
2019-01-29,12.2109956741333,53.947425842285156,12.59035873413086,16.982189178466797,13.112447738647461
2019-01-30,10.858234405517578,47.48783874511719,15.815300941467285,13.346048355102539,10.308295249938965
2019-01-31,15.885242462158203,52.84040451049805,13.936532020568848,23.22366714477539,17.182289123535156
2019-02-01,22.856698989868164,59.35689163208008,24.898340225219727,27.92070198059082,24.00274085998535
2019-02-04,17.893569946289062,56.5465087890625,24.305192947387695,25.04086685180664,19.49698257446289
2019-02-05,20.577831268310547,50.43513870239258,25.121824264526367,27.524002075195312,22.53119659423828
2019-02-06,18.296939849853516,63.086551666259766,34.525569915771484,29.581737518310547,22.275461196899414
2019-02-07,22.193696975708008,48.51177978515625,16.4135799407959,29.26123046875,22.81044578552246
2019-02-08,22.566076278686523,48.334373474121094,29.278223037719727,30.304885864257812,26.320545196533203
2019-02-11,8.98764419555664,50.759857177734375,10.59029769897461,16.3114070892334,12.78860855102539
2019-02-12,7.084883213043213,51.22700119018555,14.992179870605469,13.916104316711426,10.736366271972656
2019-02-13,8.588134765625,50.23746109008789,9.37520980834961,8.327699661254883,9.210905075073242
2019-02-14,5.891376972198486,48.32794952392578,7.068356990814209,14.65730094909668,9.587581634521484
2019-02-15,3.71541690826416,48.665523529052734,6.572697639465332,14.559717178344727,8.709689140319824
