run,model,date,V_m,c0,c1,beta
ctx,arbnet_density,2019-01-01,0.009839070960879326,0.017882341518998146,0.0019345880718901753,
ctx,arbnet_density,2019-01-02,0.01619933359324932,0.01235711108893156,0.0852571576833725,
ctx,arbnet_density,2019-01-03,0.0047222767025232315,0.017917092889547348,0.00201175594702363,
ctx,arbnet_density,2019-01-04,0.011070878244936466,0.018628913909196854,0.00044587752199731767,
ctx,arbnet_density,2019-01-07,0.007943207398056984,0.017715707421302795,0.0015039932914078236,
ctx,arbnet_density,2019-01-08,0.019958067685365677,0.012380042113363743,0.07784368842840195,
ctx,arbnet_density,2019-01-09,0.021497685462236404,0.01010925229638815,0.02279837429523468,
ctx,arbnet_density,2019-01-10,0.009062444791197777,0.011944728903472424,0.06775759160518646,
ctx,arbnet_density,2019-01-11,0.008706210181117058,0.011719849891960621,0.0205801073461771,
ctx,arbnet_density,2019-01-14,0.015093620866537094,0.01836467906832695,0.0004939055070281029,
ctx,arbnet_density,2019-01-15,0.015663567930459976,0.016518454998731613,0.00017624387692194432,
ctx,arbnet_density,2019-01-16,0.008564808405935764,0.013041031546890736,0.06500501185655594,
ctx,arbnet_density,2019-01-17,0.008247701451182365,0.01278761401772499,0.02136552892625332,
ctx,arbnet_density,2019-01-18,0.00653815409168601,0.010405173525214195,0.061275266110897064,
ctx,arbnet_density,2019-01-21,0.016655435785651207,0.019128141924738884,0.007528319954872131,
ctx,arbnet_density,2019-01-22,0.011892827227711678,0.02038896270096302,0.0010835569119080901,
ctx,arbnet_density,2019-01-23,0.003744453890249133,0.020012136548757553,0.0008754032896831632,
ctx,arbnet_density,2019-01-24,0.005590023472905159,0.018675394356250763,0.007144082337617874,
ctx,arbnet_density,2019-01-25,0.017901485785841942,0.019319534301757812,0.0006215720786713064,
ctx,arbnet_density,2019-01-28,0.010312419384717941,0.022712597623467445,4.1966053686337546e-05,
ctx,arbnet_density,2019-01-29,0.00521782785654068,0.021469686180353165,1.9723258446902037e-05,
ctx,arbnet_density,2019-01-30,0.012719208374619484,0.020258523523807526,7.797468424541876e-05,
ctx,arbnet_density,2019-01-31,0.013684704899787903,0.01037788949906826,0.08442003279924393,
ctx,arbnet_density,2019-02-01,0.014961598441004753,0.0019324466120451689,0.08326400816440582,
ctx,arbnet_density,2019-02-04,0.015454588457942009,0.005473056808114052,0.06780119240283966,
ctx,arbnet_density,2019-02-05,0.0074972654692828655,0.008623814210295677,0.06481336802244186,
ctx,arbnet_density,2019-02-06,0.007778672967106104,0.008033168502151966,0.03951013833284378,
ctx,arbnet_density,2019-02-07,0.013045393861830235,0.008588619530200958,0.06771299242973328,
ctx,arbnet_density,2019-02-08,0.006530962884426117,0.007154068909585476,0.08363749086856842,
ctx,arbnet_density,2019-02-11,0.009207014925777912,0.01495173666626215,0.04356831684708595,
ctx,arbnet_density,2019-02-12,0.020714305341243744,0.018820427358150482,0.005325607489794493,
ctx,arbnet_density,2019-02-13,2.9930288292234764e-05,0.012475117109715939,0.042520202696323395,
ctx,arbnet_density,2019-02-14,0.01650639995932579,0.014886554330587387,0.027997246012091637,
ctx,arbnet_density,2019-02-15,0.02891133911907673,0.013981577940285206,0.025003718212246895,
ctx,arbnet_density,2019-02-18,0.014222296886146069,0.018560148775577545,0.0116268964484334,
ctx,arbnet_density,2019-02-19,0.009685218334197998,0.015516920015215874,0.026452431455254555,
ctx,arbnet_density,2019-02-20,0.01620820164680481,0.016190042719244957,0.03641102835536003,
ctx,arbnet_density,2019-02-21,0.010214628651738167,0.013555621728301048,0.047577399760484695,
ctx,arbnet_density,2019-02-22,0.0211278535425663,0.013805215246975422,0.03070875070989132,
ctx,arbnet_density,2019-02-25,0.018515514209866524,0.013708866201341152,0.045373816043138504,
ctx,arbnet_density,2019-02-26,0.013933161273598671,0.015391052700579166,0.02454080618917942,
ctx,arbnet_density,2019-02-27,0.012622000649571419,0.0180854182690382,0.0008737975731492043,
ctx,arbnet_density,2019-02-28,0.013145867735147476,0.016076283529400826,0.008149692788720131,
ctx,arbnet_density,2019-03-01,0.02191067859530449,0.009674735367298126,0.06766117364168167,
ctx,arbnet_density,2019-03-05,0.030329536646604538,0.014115415513515472,0.026983138173818588,
ctx,arbnet_density,2019-03-06,0.02494974248111248,0.01325644925236702,0.03050222247838974,
